x,y,z
120769.1873,188679.9419,69.8021
120769.224,188681.078,69.804
120769.466,188686.202,69.818
120769.822,188692.01,69.834
120770.146,188696.288,69.864
120770.727,188702.652,69.887
120771.166,188706.767,69.916
120771.823,188712.241,69.923
120772.856,188719.658,69.969
120773.429,188723.334,69.977
120773.975,188726.618,69.994
120774.779,188731.119,70.009
120775.782,188736.337,70.025
120776.596,188740.258,70.043
120777.904,188746.166,70.049
120778.966,188750.685,70.072
120780.275,188755.897,70.072
120781.578,188760.798,70.086
120782.898,188765.513,70.107
120784.226,188770.024,70.114
120785.795,188775.12,70.139
120787.233,188779.587,70.156
120788.977,188784.786,70.17
120790.742,188789.819,70.186
120792.33,188794.199,70.204
120794.173,188799.094,70.221
120795.936,188803.63,70.226
120797.8,188808.284,70.24
120799.725,188812.936,70.252
120801.602,188817.345,70.267
120803.796,188822.376,70.268
120805.87,188826.978,70.278
120807.864,188831.307,70.295
120810.717,188837.328,70.303
120812.256,188840.49,70.326
120814.489,188844.992,70.34
120816.814,188849.583,70.368
120819.173,188854.101,70.386
120821.437,188858.358,70.413
120824.026,188863.112,70.421
120826.261,188867.122,70.451
120828.779,188871.549,70.473
120831.301,188875.874,70.5
120833.99,188880.371,70.524
120836.385,188884.307,70.546
120839.235,188888.861,70.57
120841.972,188893.131,70.586
120844.741,188897.357,70.601
120847.385,188901.281,70.611
120850.115,188905.244,70.63
120853.269,188909.713,70.64
120856.054,188913.56,70.652
120859.178,188917.756,70.67
120861.976,188921.422,70.684
120865.339,188925.715,70.699
120868.571,188929.73,70.714
120871.772,188933.601,70.731
120874.708,188937.068,70.743
120878.276,188941.156,70.755
120881.577,188944.855,70.772
120885.134,188948.715,70.786
120889.318,188953.144,70.799
120892.106,188956.009,70.806
120895.964,188959.906,70.818
120899.357,188963.228,70.827
120902.458,188966.207,70.836
120906.766,188970.251,70.842
120910.308,188973.501,70.852
120913.946,188976.758,70.858
120918.265,188980.573,70.871
120921.729,188983.578,70.882
120929.205,188989.952,70.906
120936.38,188996.001,70.932
120944.625,189002.933,70.968
120951.923,189009.139,71.01
120959.542,189015.737,71.048
120966.984,189022.371,71.097
